,Tweet,len,metrics,source
0,I think it’s them back to find the Joker movie fans hand warmers on the floor is but what is my phone,101,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Leapfrog LeapPad
1,I Watched That Joker Movie &amp; Was Too Hyped !! My Mans Be Feeling My Pain😭😭🤣🤣 https://t.co/xvLjFgAis2,104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Twitter for iPhone
2,@kingvader @AngryJoeShow I'm getting Joker vibes from the 1989 Batman movie. https://t.co/6XLQ57q8ur,100,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
3,@notoriouslang Im the joker movie he was reading all his jokes off a notebook and looking up after each one pausing for laughter lmao but nobody laughed..  n Kevin “the vid” joke was NOT FUNNY lol,196,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
4,"Aye, I'll try Black Sails at some point but you're still not making me watch the Joker movie, IDGAF.",100,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",TweetDeck
5,i want 2rewatch joker favorite fall movie,41,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
6,Joker (2019) is the official movie of this holiday right? We’re watching to celebrate tomorrow? https://t.co/k103SmnyK8,119,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
7,@USAQuizShow @MacEachernNL Maybe the whole movie takes place in the Joker's mind..... so the printer machines dont work like they normally should ........... makes u think,171,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
8,wait random but did u guys like the joker movie lol,51,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 4, 'quote_count': 0}",Twitter Web App
9,"I'm pretty certain that 2020 Jokerfied me. I'm the Joker now.

It's Arthur Fleck, from the movie Joker! I made a plush of him a few months ago and it looks like he was popular enough to be commissioned again!

Arthur is a commission for Dorothy!
#Joker #ArthurFleck #plush #fanart https://t.co/BReRocCgsX",304,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
10,joker was a damn good movie https://t.co/vL7zqIoDAa,51,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
11,I can’t stand how people think that there are plot holes in what the joker does in the 2nd act in tdk. The joker said in the movie that having a plan leads to the downfall of what your trying to accomplish.,206,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
12,I swear that joker movie is looking more and more relatable every day to me,75,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
13,I’ll never forgive you niggas for gassing up the joker movie,60,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
14,"This dude is going to get up his ""political career"" and star as the Joker in the new Batman movie https://t.co/qZYTKZ2TyN",121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
15,"@discordspies @legndofphoenix Oh I get it a lot when arguments get heated.. 

Or I get the ""you're not from here, you won't get it"".. or something.. 

Hell, I was once told that the reason I didn't like the Joker movie is because I'm not a white male, which is the target demographic.. no joke lol",297,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 10, 'quote_count': 0}",Twitter for Android
16,I think tonight’s the night that I finally watch the Joker movie.,65,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone
17,"Prince's album Batman (1989) &amp; soundtrack to the movie was supposed to be a collaboration between Prince &amp; Michael Jackson - Prince as the Joker, MJ as Batman. https://t.co/fMIuPjbJAy",191,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
18,"I forgot, I wrote a medium post about how I hate the movie Joker and it was published today. I guess I should link it. I just wanted to try out medium. 

https://t.co/beXLVfKhG5",177,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
19,@jelliclesav Deniro actually so good in Joker. Easily the best performance in the movie and i would've been happy with an oscar nom for him,139,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
20,like they can be the first joker in the joker contest that gets it in the movie cuz joker needs 'stunt doubles' and thats really all its ever for and thats my theory two as my character that i wouldn't even say to the joker and its something he'd like on his ears...kindaSTEPbroth,280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
21,"this is literally the worst habit of mine i just go on ao3 and try to find the worst things i can and i just caused myself to shout ""NO!!!!"" out loud because i saw someone self shipping with Da Joker Babey from the 2019 movie",225,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",Twitter Web App
22,Joker movie https://t.co/adQLUbvJMB,35,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
23,@PattyNest Oh yeah. Adding joker in the movie doesn't make any sense and even snyder said he originally wasn't going to be in the movie. so this decision does make me wonder is there something bigger going on that we dont know yet like snyder officially coming back to the DCEU?,278,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
24,@Lord_Azoth @CanadaDaredevil @thinbloodeddino @DCinthe1980s @DarrellEpp @buse_chris @DeevElliott @realmarkrez @ManFirestorm @loranskinkisart Moore is curmudgeonly enough to be suspicious of acclaim and to reject opinions about his projects. Moore lacks the business acumen of Gaiman and signed away the rights to WATCHMEN as just another work-for-hire job. The JOKER movie used THE KILLING JOKE moments but went deeper :D,421,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter Web App
25,Joker. Solid movie. https://t.co/G6FuOdbTmN,43,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
26,I just watched the Joker movie &amp; like himmmm,48,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
27,https://t.co/Ix9zm8UOcU  this is better than any monologue in the joker movie I'm just saying,93,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
28,@coupon_maven @RobertPorubsky @JocelynBenson The joker won in the most recent movie,83,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
29,"@FUNNYMANLMAO @BeckyBond007 Yeah, Endgame was be a good movie, but as the ""end"" of the MCU? And Joker wasn't really a classical DC movie (or a classical blockbuster), but I really liked it too. Was my no 2 for this year after Alita :)",234,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for Android
30,What's your favourite movie? — I’d probably say either Joker or Thor: Ragnarok 🥰 https://t.co/YtKgXKwcuM,104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
31,@JeremyBWhite @GavinNewsom @jasonkinney newsom is more convincing as a megalomaniacal evil bastard than any Joker in a Batman movie,131,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
32,guys who’s favorite movie is joker need to seriously shut the fuck up,69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
33,joker movie reminds me when i was british,41,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
34,Joker is still an absolute bomb movie. What a fcking world,58,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
35,Does anyone think Joe Biden resembles the Joker from the movie Batman. https://t.co/dWvOjb50Bl,94,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
