,Tweet,len,metrics,source
0,"In addition invest the main baddie Steppenwolf, the first ever Justice League movie will feature Darkseid, Joker, Lex Luthor, and Deathstroke. Never really thought about that before. https://t.co/1kAXPxGLxu",206,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 15, 'quote_count': 0}",Twitter for Android
1,"@RedVioletti The movie overall was disappointing as a Jason Stan. The options weren’t as varied or fleshed-out as I would have liked. As far as Joker, he has some good moments for sure. A particular speech to resurrected Jay was gold.",234,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
2,"@NickJPotter Nick! no it's really good. He's got lots of spikes, It's gonna be sweet I promise. This guy and the joker are so twisted and finally to be in this movie together, it's going to be so sick and amazing.",213,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
3,"@bultaoNene god no, suicide squad was a terrible movie and should not exist except for it's soundtrack but like. was excited to see a new version of joker. sad it was so trash :(",178,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
4,@MitchellAHorton @CaseyExplosion Joker and Justice League are very different projects though. Justice League is an action flick kind of movie. Movie studios as large as WB are very used to losing such amounts of money on projects like this (because they are a bunch of ghouls sucking our souls without...,304,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for Android
5,"Yes I know it's 2 year old drama, but it just frustrated me so. The fact that WB went and gave a green light, no pun intended, to fuckin' Leto in that g-d awful movie to be the actual Joker, and according to some rumours wanna bring him back, but not to the actor who 100% ACED it",280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
6,"@GailSimone Nah, you have a right to like what you like. I'm sorry for being the party pooper but somebody has to; hope you enjoy it.

This works better if you imagine it like Batman and The Joker at the end of The Lego Batman Movie: ""I hate you more"" ""No, I hate you more.""",274,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
7,"@No_Offence008 @Michael04Champ @IGN It wasn't for some. It was just a movie about 2 psycho. Old woman and her old son. The movie is about nothing, remove Wayne name from it and it's a garbage. Whereas Jared's Joker is a cool new take on the character.",251,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
8,Thanos Actor Josh Brolin Gives Joker a Heartfelt Review https://t.co/MBuVQnoP9v,79,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",CoSchedule
9,"Even as a kid, I always liked the Joker better than Batman and was terrified to say that. I’m in the back of a classroom trading erasers and shit hoping the Joker finally wins in this movie.",190,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter for iPhone
10,"@JamesJAsher @MistressMalevo2 Also, I made the Joaquin Phoenix Joker before the movie came out since it was getting released that same year.  I'm not the best at making faces, but I gave it a shot. https://t.co/2FCX6vwDQE",221,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
11,"@nytmike @maggieNYT Well🤷🏻‍♂️ his leading role as the penguin and joker rolled into one, $20k per day plus 6% of the gross stolen from the Americans stupid enough to donate to this project to fund the Trump debt🤷🏻‍♂️quite a movie deal for bad actors 🖕🏽
🤡🤡2020🖕🏽",261,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
12,joker movie reminds me when i was british,41,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
13,Movie idea Batman loses his fortune and join forces with joker,62,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
14,"172. Joker rewatch

we watched this movie to make fun of me being depressed and it wasn't worth it this movie sucks https://t.co/RZs1r64kpx",139,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 1, 'quote_count': 0}",Twitter Web App
15,@koospup JOKER IS SUCH A GOOD MOVIE,35,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
16,"@the_moviebob It's when the Joker says: ""I just do things."" and fandom is like: ""That's so deep, bruh"".

And then we need another Joker movie a decade later for some reason.",173,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",Twitter Web App
17,"i am watching joker for the first time ever, i am on the 17th minute and this movie is already upsetting me too much bye",120,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 9, 'quote_count': 0}",Twitter for iPhone
18,"Anyone else seen this ending to batman 89? I feel like I've missed out 
If anyones seen it let me know #Batman #sainsburys #tuesdayvibe #batman89 #movie #tuesdaymotivations #coronavirus #Joker #thejoker #WarnerBros 
https://t.co/fHwWJ7FHIQ",239,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
