words,sentiment_coff
izuku,1.5003943423099677
almost,1.1838550526326332
felt,1.2848855555880603
bad,0.8889264577277527
tear,1.5798726931960874
well,0.9057622397000864
beta,2.390539255298394
eye,1.1932265314537482
turn,1.0799519633792656
leav,1.0889877295395154
feel,0.9205831706333976
quickli,2.1395369711754295
daddi,1.4701657319997585
swell,2.905281121053808
i,0.9802493258970466
realli,0.928590120001197
want,0.9160182829662395
birthday,1.2167098891187091
get_pregnant,2.794528201855486
pup,1.6477821796035073
what,0.9628222800679049
omega,2.090539521895858
get,0.8977402170006151
he,0.8896148423695367
look,0.8924667133184468
disappoint,1.373607023063667
annoy,1.1559499653968006
lift,-2.7704173295399483
old,-1.020059420877818
front,-1.928121989549371
weight,1.7671883535882993
walk,-1.644762929669217
better,-0.8773700835414051
tell,1.0384369321188107
eat,1.1180540083730537
much,0.946773624153645
lol,1.1481765574505374
question,-1.2337565728134807
becom,-1.2469750577661967
lean,-2.4762851565854564
machin,-2.4542592181981475
hope,0.8920891326112923
and,0.9067093086658667
great_day,1.0346499417417092
can_wait,1.3702633155980015
need_laugh,2.497876117936987
http_co,1.0082723548978756
crush,2.269576035883159
phase,1.7780037609374377
alway,0.9283195869913873
excit,1.1859944058911862
think,0.9301093849199605
duet_for,-1.0343376367242223
love_jeydic,-1.1004671794852132
it,0.9281463026011629
pass,1.341970333024992
oh,1.0841463635326707
drag,2.2824418337766446
girl,1.104453949484758
top,-1.3593530899455248
friendship,1.5428208498600924
e,1.3102965003048799
hous,-1.3761462263835615
made,-0.9826717589396962
look_like,1.1189263167777062
knew,1.2927628871198822
nengi,1.2853514216183446
form,1.680990065524108
anyway,1.4686506407331135
we,0.8739792574647498
move,1.0779966059605424
love,0.9925586974908437
sooo_much,1.6421481909001479
so,0.9272050482706111
nigeria,0.9257582843186964
would,0.9003588470566036
have_been,1.9353451667367891
great,-0.8945473735751606
if,0.9095455631325706
of,-0.9863191198188378
kiss,1.697441430108884
red,-1.9089144159770304
light,1.0327182263605392
type,1.449209010070739
might,-1.0780933181159524
thing,0.8943702667748954
one,0.9023805459064692
ador,1.5417709667633326
sound,1.1968279223525826
shit,1.0734312612250545
come,0.8931949028543688
eh,3.0931207852988907
less,-1.1701970264671886
everyth,1.0543719947783492
long_time,1.3722763461163727
see,0.9154232998186581
understand,0.9886908596192484
point_view,-2.815621884465631
simpli,-1.3423544604240496
hold,-1.2070779733744952
face,1.1855670382679442
overwhelm,2.3163201264452886
evid,-1.8464901874552093
love_u,1.0508422163908926
so_much,1.117312977673726
that,0.914296014614527
happi,0.9701314128740252
death,-1.4080395814397673
go,0.9129154738485266
fast,1.6403266457519252
mayb,0.9634347782429822
non,-1.3936551474074557
sexi,1.972570186470279
deserv,1.0270662578523653
congrat,1.1778146562013274
thank,0.9360927542953875
hard_work,1.5647859636721941
truth,1.182142145359074
us,0.8767663449479476
ship,1.810291132559284
way,0.8960281586056762
save,-1.2856928848701439
we_cannot,-2.8337155362718796
mere,1.6443169338216974
wish,1.0192254533465346
come_true,2.1474397606088864
unless,-1.4596795210856812
sincer,2.881687167305652
hate,0.9221758338904783
laugh,1.5736895881492385
talk,0.9641420422983169
coz,1.8035880366244623
imagin,1.1416643065757555
life,0.9106055579210287
without,-0.9747105270575819
back,-0.9284959195237918
amp,-0.8647945665636204
embarrass,-1.9213102316767419
mistak,-1.6368665258899988
grow,-1.5309637372953249
guy,0.9984058876965641
like,0.9497851331714394
cool,1.2877367876390904
combin,2.208593489691199
celebr,0.9836931879777875
name,1.1325498084327907
pray,1.1514280508599728
slot,-2.088048953954387
somebodi,2.433836394781201
believ_god,2.3326297400048848
you,0.9354251245518669
work,-0.909086231331267
realli_hard,1.259459272142752
comeback,2.2716642462050847
congratul,1.2289992590969723
laycon,1.5837787513869437
hot,1.4738669367464725
nonsens,2.05053298869883
ufc,2.85367034869217
champion,-2.5539134319670556
israel,-1.5823692572780048
deni,-1.9119183388086678
use,-0.9635420849414494
fan,1.168209047025291
notic,1.2796189095456079
unusu,-3.5327480829817195
right,0.9546685597477894
win,-1.043383764434823
costa,-3.3011590496832155
pain,1.1152745280182172
sourc,1.8779795582711931
no,1.0172186041426747
man,1.0051958516209467
sky,1.9849245293380924
recent,-1.5761553620605435
got,0.9355325898147253
big,1.082035254618452
updat,1.4416885852097587
also,-0.9105573640712978
50,-1.6465502885160777
idk,1.165055747090731
everyon,0.9959131152871453
ask,0.9949550105134174
humbl,2.0574331278547717
upcom,-1.9539310976181747
aaa,-1.9142463241733323
hype,2.2626905177040846
game,-0.9420598266813829
homophob,2.7204144495697644
stfu,1.6942410317941894
stop,1.0244888896054947
2020,-1.410134768852314
admit,1.419771734937172
say,0.9161598971786623
hate_speech,2.246247537108636
honestli,1.1105180341217042
nigerian,-1.0930949424272909
heritag,-2.5361851511539055
surpris,1.1498758954715262
good_morn,1.0279040575047036
happi_thursday,1.9937126474726938
happi_octob,1.6247685559565288
be_kind,2.2831488857611126
other,1.0595639127226937
spread,1.3146364033392717
joy,1.213580149311996
encount,2.298904003889703
make,0.8920586214063947
best,0.9350279897558349
day,0.882197788782738
bring,-1.0105448623693978
intent,-1.8334538412508894
mei,3.5125053868018536
watch,-0.9406217115432817
littl,1.0359753186007568
crawl,2.4736877969796076
wanna,1.0873489548170405
let,0.9016416900453622
know,0.9613377843842171
amaz,0.962759855473993
pleas_take,1.3746611335447203
care,0.9467576444396514
drink,1.44565999372476
water,-1.5133252125025711
take_break,-1.7510428754451661
someth,1.009099323745395
everi,-1.0792234889366332
children,-1.1983582010244485
programm,-1.9074344258859628
bbc,-2.4069417971430003
encourag,-3.895343302083822
home,-0.9707053277554225
creat,-1.2872479713150666
cook,-2.0697404904303847
stuff,1.04183731126722
they,-0.9171282541452379
award,-2.5737253791878096
tri_find,3.0147015967165
logo,-3.2704849374610996
real,1.0730401031144605
bitch,1.3117132790166737
situat,1.3622277062825041
their,-1.3577227978903554
store,-1.816762593844635
rule,-1.3201090056776124
mask,-1.8519745341557228
whatev,1.1331362201004724
reason,1.1047515023689578
fit,1.206385093764919
mark,-1.7012258994281597
someon,0.9544844684782207
sunris,2.52573864373049
fuck,0.974802338202704
good,0.906892243276333
appl,1.8658303017460762
bop,2.6742231710365307
need,-0.9242319448511088
pick,-1.2471213010279285
hobbi,-2.617530980510813
thi,0.8986992008468991
useless,1.3883338742197127
ever_seen,2.0751888716309903
whi,0.9929419704004859
even,0.9019548611731382
base,-1.246660083869353
anyth,0.9811967805496401
never,0.9589866476832832
fuckin,2.058510603182849
happen,0.9618074548179834
enemi,-1.4986613145675407
cartoon,-2.6238703212433037
call,0.9814757018200935
avoid,-1.4956567325518113
nasti,2.8397990164060865
racist,-1.1636372162602602
nobodi,1.2967398761386484
clearli,-1.824996799011456
knowledg,-2.0253533299270687
immigr,-1.6329085538218275
system,-1.4128810554486089
last_2,-1.9534539050390674
decad,-2.4713867135983376
least,-1.2746318950515931
send_love,1.036190938505593
well_soon,2.339011662998797
show,-0.9384994543004282
lack,-1.8628594903880389
abil,-1.432205565070305
toler,2.2881741582842805
accept,1.1859086039511746
differ,-0.9891760494322296
human,1.0899887023150676
loss,1.2186941416312351
major,-1.3772767570178253
just,0.9984355910590085
the,-0.9583687969486991
biggest,1.7165951833300075
loser,-2.2397203804940413
fall,1.1604455158286358
find,0.9774456114269426
play,-0.9404328299048079
sick,1.5477664771041981
mother,1.5933606813473808
job,-1.0569947571020573
fifti,2.2190161217517157
shade,2.23610814866568
actor,-2.0155022538796703
bad_boy,-2.346449310719868
pay,-1.2131322281742196
employe,-2.5995003845072477
busi,-1.1813248611743499
pound,1.9325347540459625
echo,2.93422552300588
came,-1.6356896075700107
wake,1.3235914333314536
your,1.006386780705207
shadow,-2.7855776644294536
surround,1.8056161629707848
swallow,2.369318376738263
colour,1.53851675681784
dream,1.1535129751469735
space,-1.3411821138926294
bed,1.3155493100106075
remind,1.5465739577563662
gone,1.3079073279965936
your_voic,3.205943824745064
head,1.2078550762429248
replay,2.633263914753147
song,1.036812160068384
night,1.039974530993698
feel_like,0.8988515270222409
forev,1.2895558400105458
it_easi,2.186765415160433
grief,-2.7207735473188093
poorli,-3.096838737674596
16,-2.357451512806683
paw,3.2815161029324664
finger_cross,-2.654054028122984
saw,1.089797618161474
heard,1.570089038549946
trump,-0.972078566780516
never_stop,2.5352597198612035
lie,-1.0536576560164141
absolut,1.2162335481070299
abus,1.1383484444798588
mean,0.9273983907249498
nurs,2.7427877151953695
hi,1.0179795439235135
patient,-2.3377447297008276
alreadi,1.2226603059810741
answer,1.1883867363910667
u,0.9225607918291903
brought,1.9710633554899
lunch,2.4319482952528433
sir,1.090654214742092
chanyeol,1.6894728309361393
delight,-1.7081414530854346
inform,-1.4287675591806055
yeah,1.0706525905695732
yesterday,1.1365211716897747
drown,-3.6727236105725654
sad,1.093189520419677
6,-1.1180564829597643
first,-0.9959778250739794
year,-0.9791527188377909
cours,-1.544529521732838
today,0.9244427575164599
twitter,1.137020996855487
lt_3,1.1925731171697365
miss_much,1.893733292452012
gt,1.1656978278627628
born,1.4336153971072723
admir,1.8167446209204612
two,-1.0911447475533103
met,1.3759646401197898
ur,0.9760525498741384
bb,1.7035058835029684
love_uuu,1.7233502874301942
