,Tweet,len,metrics,source
0,"Watching a movie that aligns perfectly with 2020.

Joker. 

Narcissistic Personality Disorder, front and center.

Joaquin Phoenix is superb. https://t.co/rT6RSzYWYn",164,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
1,"I swear to God if David Goyer writes the GL Corps movie I'm gonna become the Joker 
#GreenLanternCorps https://t.co/kGYHaBk3aC",126,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
2,"Anotha one, for those of you that enjoyed my other piece. I loved the #Joker movie https://t.co/jjb5LgCtS7",106,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
3,hey who wants the whole joker movie on discord,46,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
4,"@DrewLawDesign The laugh the Joker has in #SuicideSquad (the movie.
..I'm not trying to have the comic bookTwitterdom unleash some wrath!)when he is surrounded with all his knives...deep belly crazy town! @SonicDTT ??",217,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
5,"It deserves all the awards! The movie rocked! Beware unpopular opinion incoming: 

Better than that joker movie that made a billion that’s for sure. https://t.co/QxTkKwnBBv https://t.co/2tXCOOGurp",196,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPad
6,"@AkashSushiFORVR @x_itsiisha_kaur @JanhviKapoor @RanveerOfficial Definitely main sabse karvaungi Report and Dislike. Movie toh aaye iss Joker ki. 

#RepublicRoar4SSR",165,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
7,i liked the movie joker (2019) idgaf what film twt thinks,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
8,@DiscusslngFiIm @DCFUnited @snyderverso @Dailter_Fran @Browntable_Ent @NandovMovies @channel_pup @Ray__Porter @HiTopFilms Yes.I Hope One Day @JaredLeto Joker Solo Movie Or Series @hbomax. https://t.co/B9OePcVYsZ,211,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Twitter Web App
9,Remember when our biggest fear was worrying about dudes who would try to imitate the Joker after the movie came out? Better times.,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
10,"(1) If Joker (2019) ever gets a sequel (it probably won't), this is what they should be aiming for: make it a bit like the second act of The Killing Joke. In the first movie he went insane. In the second movie his goals is to prove that anyone can go insane just like he did.",275,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
11,"Happy #InternationalMensDay

LaKeith Stanfield is the one and only choice for the Joker. And every movie would be better with him in it.

You’re welcome https://t.co/pyDaOxzyWe",176,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
12,"@DiscusslngFiIm @DCFUnited @snyderverso @Dailter_Fran @Browntable_Ent @NandovMovies @channel_pup @Ray__Porter @HiTopFilms CORRECTION, hes back for one movie, then its back to the curb where THIS joker belongs, because THIS joker is A JOKE",238,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
13,"One thing I am scared for if a new spawn movie comes out is for all the edgy kids to be like ""screw joker I love spawn now"" while wrapping themselves in fake chain belts.",170,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
14,@Mareq16 @ArmorOfGod13 @beautyonthelolo @CrystalStone857 @TheRedPillRx @EntertheFrog @PepeLeTrump @redpilledasfuck @PepeMatter @RedWaveWWG1 @PepeRevere17 @RPepocrates @PatriQtSTQRM @conquistafren @obiwan_qenobi Shes watched the JOKER movie way too many times.,259,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for Android
15,I am gonna get the world record on watching the joker movie,59,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 1}",Twitter for iPhone
16,I just watched the movie The joker that movie will give you depression damn!!,77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
17,watching the joker movie in world record tmie,45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App
18,"@fuckwelcomemats @brainrot_doc @HaloCEofficial @TheMaskedChaos Joker was, at its core, a socialist movie. If you're not a socialist, find another film.",151,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
19,"i am doing some illegal stuff right here, like doing something in something and then basicly pirating it

also my copy of the joker movie was found on a discord https://t.co/zQu1JM4xZs",184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
20,how can i speed up the joker movie to where its only around 2 minutes lenght?,77,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 9, 'quote_count': 1}",Twitter Web App
21,I ain’t ever had a movie like joker speak to me so much before,62,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",Twitter for iPhone
22,@AchangaTeddy Watch The Joker movie and get back to me with a thesis,68,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
23,"@WayneE1961 @SkyNews @LewisHamilton Wow, you actual clown.  Joker wheres white makeup in every movie.  Have you never seen Batman before?

🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣

🤡",154,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 1}",Twitter Web App
24,"Zack Snyder Says Jared Leto's Joker Will Have a New Look in JUSTICE LEAGUE
#movienews #tvshownews #movies #tvshows #newreleases #movietrailers ##trailer #film #movie #cinema #trailers #teaser #netflix #actor #hollywood",218,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Integromat
25,"@Super_Shanko @undeadscribe Bro you simply don't get what I mean, I'm not that that's what makes him threatening, I'm saying that in a movie, for people who barely now lex, he needs to look intimidating, not just be, just like the joker",236,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
26,@mcauz56 Joaquin Phoenix. Joker. Awesome movie.,47,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
27,Wow. More like the clowns for hire from the sad clown shop in The Joker movie. https://t.co/O4l0AHhitb,102,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
28,"@ShineLily_ finally, the Joker movie on YouTube for free",56,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
